#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ブレイブグラブ,0,0,1,0,1,1,1,55,2,0,0,0,1,採取,3,運気,2,体力,-2,乗り,2,,,竜骨【小】,1,,,,,,
レザーグラブ,0,0,1,1,1,1,1,55,-1,0,0,0,1,採取,1,気まぐれ,1,,,,,,,暖かい毛皮,2,,,,,,
チェーングラブ,0,0,1,1,1,1,4,57,2,1,-2,1,0,体力,1,腹減り,2,,,,,,,鉄鉱石,1,砥石,2,,,,
ハンターアーム,0,1,1,1,1,1,6,98,0,1,-3,0,0,調合成功率,1,狩人,3,毒,-1,,,,,大地の結晶,1,ジャギィの鱗,2,ツタの葉,1,,
ハンターガード,0,2,1,1,1,1,3,56,1,2,-2,1,1,調合成功率,1,狩人,3,毒,-1,,,,,大地の結晶,1,ジャギィの鱗,2,ツタの葉,1,,
ボーンアーム,0,1,1,1,1,2,7,99,1,0,-1,-2,0,KO,3,笛,1,,,,,,,なぞの骨,2,竜骨【小】,2,モンスターの体液,2,,
ボーンガード,0,2,1,1,1,2,4,57,2,1,0,-1,1,KO,3,笛,1,,,,,,,なぞの骨,2,竜骨【小】,2,モンスターの体液,2,,
アロイアーム,0,1,1,1,1,1,8,100,-1,1,-2,-1,0,防御,2,採取,-1,風圧,1,,,,,マカライト鉱石,2,大地の結晶,2,鉄鉱石,4,,
アロイガード,0,2,1,1,1,1,4,57,0,2,-1,0,1,採取,-1,散弾強化,1,散弾追加,2,,,,,マカライト鉱石,2,大地の結晶,2,鉄鉱石,4,,
リノプロアーム,0,1,2,1,1,3,8,100,1,-1,-1,-1,1,砲術,2,KO,3,気絶,-2,耐泥耐雪,1,,,草食竜の甲殻,2,竜骨【中】,4,鉄鉱石,2,,
リノプロガード,0,2,2,1,1,3,4,57,2,0,0,0,2,砲術,2,KO,2,気絶,-2,耐泥耐雪,1,,,草食竜の甲殻,2,竜骨【中】,4,鉄鉱石,2,,
ブナハグローブ,0,1,2,0,1,2,10,102,-4,-1,2,-1,2,攻撃,-2,特殊攻撃,2,納刀,3,麻痺,1,,,飛甲虫の羽,3,飛甲虫の甲殻,2,甲虫の腹袋,2,光蟲,2
ブナハカフス,0,2,2,0,1,2,5,57,-3,0,3,0,3,攻撃,-2,特殊攻撃,2,納刀,3,麻痺,1,,,飛甲虫の羽,3,飛甲虫の甲殻,2,甲虫の腹袋,2,光蟲,2
