#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ブレイブベスト,0,0,1,0,1,1,1,55,2,0,0,0,1,体力,-2,回復速度,2,乗り,3,,,,,竜骨【小】,1,鉄鉱石,1,,,,
レザーベスト,0,0,1,0,1,1,1,55,-1,0,0,0,1,採取,3,気まぐれ,2,,,,,,,暖かい毛皮,1,竜骨【小】,1,,,,
チェーンベスト,0,0,1,0,1,1,4,57,2,1,-2,1,0,体力,3,腹減り,1,,,,,,,鉄鉱石,2,暖かい毛皮,1,,,,
ロックラックスーツ,0,0,1,1,1,2,5,57,2,-3,1,0,0,耐暑,5,運搬,3,,,,,,,鋼のたまご,1,甲虫の腹袋,2,ジャギィの皮,3,,
ハンターメイル,0,1,1,1,1,1,6,98,0,1,-3,0,0,調合成功率,2,狩人,1,毒,-2,,,,,鉄鉱石,2,ジャギィの鱗,1,竜骨【小】,2,,
ハンターレジスト,0,2,1,1,1,1,3,56,1,2,-2,1,1,調合成功率,2,狩人,1,毒,-2,,,,,鉄鉱石,2,ジャギィの鱗,1,竜骨【小】,2,,
ボーンメイル,0,1,1,1,1,3,7,99,1,0,-1,-2,0,KO,2,笛,1,,,,,,,なぞの骨,2,大きな骨,1,甲虫の腹袋,2,,
ボーンレジスト,0,2,1,1,1,3,4,57,2,1,0,-1,1,KO,2,笛,1,,,,,,,なぞの骨,2,大きな骨,1,甲虫の腹袋,2,,
アロイメイル,0,1,1,1,1,1,8,100,-1,1,-2,-1,0,防御,1,採取,-2,風圧,3,,,,,マカライト鉱石,3,竜骨【小】,2,鉄鉱石,2,,
アロイレジスト,0,2,1,1,1,1,4,57,0,2,-1,0,1,採取,-2,散弾強化,2,散弾追加,2,,,,,マカライト鉱石,3,竜骨【小】,2,鉄鉱石,2,,
リノプロメイル,0,1,2,1,1,3,8,100,1,-1,-1,-1,1,KO,1,気絶,-2,耐泥耐雪,2,,,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
リノプロレジスト,0,2,2,1,1,3,4,57,2,0,0,0,2,KO,1,気絶,-2,耐泥耐雪,2,,,,,草食竜の頭殻,1,草食竜の甲殻,2,大地の結晶,2,,
ブナハスーツ,0,1,2,0,1,2,10,102,-4,-1,2,-1,2,攻撃,-2,特殊攻撃,2,納刀,2,麻痺,1,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,雷光虫,1
ブナハベスト,0,2,2,0,1,2,5,57,-3,0,3,0,3,攻撃,-2,特殊攻撃,1,納刀,3,麻痺,1,,,飛甲虫の甲殻,2,飛甲虫の羽,3,モンスターの体液,2,雷光虫,1
ジャギィメイル,0,1,2,0,1,2,10,102,-2,0,0,0,1,研ぎ師,1,効果持続,-1,気絶,2,,,,,王者のエリマキ,1,狗竜の爪,2,ジャギィの皮,3,鉄鉱石,3
ジャギィレジスト,0,2,2,0,1,2,5,57,-1,1,1,1,2,装填速度,1,効果持続,-1,気絶,2,,,,,王者のエリマキ,1,狗竜の爪,2,ジャギィの皮,3,鉄鉱石,3
ズワロマント,0,1,2,0,2,3,10,102,-2,2,0,-1,1,体力,8,回復速度,2,,,,,,,垂皮竜の皮,4,マカライト鉱石,2,暖かい毛皮,3,,
