#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ブレイブヘッド,0,0,1,1,1,1,1,55,2,0,0,0,1,体力,-1,回復速度,3,乗り,2,,,,,竜骨【小】,1,,,,,,
レザーヘッド,0,0,1,1,1,1,1,55,-1,0,0,0,1,採取,2,気まぐれ,3,,,,,,,暖かい毛皮,1,鉄鉱石,1,,,,
チェーンヘッド,0,0,1,1,1,1,4,57,2,1,-2,1,0,体力,1,腹減り,1,,,,,,,大地の結晶,1,鉄鉱石,1,,,,
ハンターヘルム,0,0,1,1,1,1,6,98,0,1,-3,0,0,調合成功率,2,狩人,2,毒,-2,,,,,マカライト鉱石,1,鉄鉱石,1,のりこねバッタ,2,,
ハンターキャップ,0,0,1,1,1,1,3,56,1,2,-2,1,1,調合成功率,3,狩人,2,毒,-2,,,,,マカライト鉱石,1,鉄鉱石,1,のりこねバッタ,2,,
ボーンヘルム,0,0,1,0,1,2,7,99,1,0,-1,-2,0,KO,1,笛,1,,,,,,,なぞの骨,2,なぞの頭骨,1,甲虫の大顎,1,,
ボーンキャップ,0,0,1,0,1,2,4,57,2,1,0,-1,1,KO,1,笛,1,,,,,,,なぞの骨,2,なぞの頭骨,1,甲虫の大顎,1,,
アロイヘルム,0,0,1,1,1,1,8,100,-1,1,-2,-1,0,防御,2,採取,-2,風圧,2,,,,,マカライト鉱石,3,大地の結晶,2,鉄鉱石,3,,
アロイキャップ,0,0,1,1,1,1,4,57,0,2,-1,0,1,採取,-1,散弾強化,2,散弾追加,2,,,,,マカライト鉱石,3,大地の結晶,2,鉄鉱石,3,,
リノプロヘルム,0,0,2,1,1,3,8,100,1,-1,-1,-1,1,KO,1,気絶,-2,耐泥耐雪,1,,,,,草食竜の頭殻,1,草食竜の甲殻,2,鉄鉱石,2,,
リノプロキャップ,0,0,2,1,1,3,4,57,2,0,0,0,2,KO,2,気絶,-2,耐泥耐雪,2,,,,,草食竜の頭殻,1,草食竜の甲殻,2,鉄鉱石,2,,
