#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ブレイブベルト,0,0,1,2,1,1,1,55,2,0,0,0,1,体力,-2,回復速度,3,乗り,1,,,,,竜骨【小】,1,鉄鉱石,1,,,,
レザーベルト,0,0,1,0,1,1,1,55,-1,0,0,0,1,採取,3,運気,-1,体力,2,気まぐれ,1,,,暖かい毛皮,1,竜骨【小】,1,,,,
チェーンベルト,0,0,1,1,1,1,4,57,2,1,-2,1,0,体力,2,腹減り,4,,,,,,,鉄鉱石,1,暖かい毛皮,2,,,,
ロックラックコイル,0,0,1,2,1,2,5,57,2,-3,1,0,0,耐暑,3,運搬,4,,,,,,,鋼のたまご,1,甲虫の大顎,1,とがった牙,3,,
ハンターフォールド,0,1,1,1,1,1,6,98,0,1,-3,0,0,調合成功率,2,狩人,1,毒,-1,,,,,マカライト鉱石,2,鉄鉱石,1,のりこねバッタ,1,,
ハンターコート,0,2,1,1,1,1,3,56,1,2,-2,1,1,調合成功率,2,狩人,1,毒,-1,,,,,マカライト鉱石,2,鉄鉱石,1,のりこねバッタ,1,,
ボーンフォールド,0,1,1,1,1,2,7,99,1,0,-1,-2,0,KO,2,笛,3,,,,,,,なぞの骨,2,竜骨【小】,2,とがった牙,2,,
ボーンコート,0,2,1,1,1,2,4,57,2,1,0,-1,1,KO,2,笛,3,,,,,,,なぞの骨,2,竜骨【小】,2,とがった牙,2,,
アロイコイル,0,1,1,0,1,1,8,100,-1,1,-2,-1,0,防御,4,採取,-1,風圧,1,,,,,マカライト鉱石,2,竜骨【小】,2,鉄鉱石,3,,
アロイコート,0,2,1,0,1,1,4,57,0,2,-1,0,1,採取,-2,散弾強化,3,散弾追加,2,,,,,マカライト鉱石,2,竜骨【小】,2,鉄鉱石,3,,
リノプロコイル,0,1,2,1,1,3,8,100,1,-1,-1,-1,1,KO,2,気絶,-1,耐泥耐雪,3,,,,,草食竜の甲殻,2,草食竜の頭殻,1,大地の結晶,2,,
リノプロコート,0,2,2,1,1,3,4,57,2,0,0,0,2,KO,3,気絶,-1,耐泥耐雪,2,,,,,草食竜の甲殻,2,草食竜の頭殻,1,大地の結晶,2,,
ブナハコイル,0,1,2,0,1,2,10,102,-4,-1,2,-1,2,攻撃,-1,特殊攻撃,1,納刀,2,麻痺,4,,,飛甲虫の羽,3,飛甲虫の甲殻,2,モンスターの体液,1,光蟲,2
ブナハコート,0,2,2,0,1,2,5,57,-3,0,3,0,3,攻撃,-1,特殊攻撃,1,納刀,1,麻痺,4,,,飛甲虫の羽,3,飛甲虫の甲殻,2,モンスターの体液,1,光蟲,2
ジャギィフォールド,0,1,2,0,1,2,10,102,-2,0,0,0,1,研ぎ師,2,効果持続,-1,気絶,3,,,,,狗竜の皮,2,王者のエリマキ,1,ジャギィの皮,3,大地の結晶,1
ジャギィコート,0,2,2,0,1,2,5,57,-1,1,1,1,2,装填速度,2,効果持続,-1,気絶,2,,,,,狗竜の皮,2,王者のエリマキ,1,ジャギィの皮,3,大地の結晶,1
ゲネポスフォールド,0,1,2,1,1,3,12,102,1,1,-2,-3,2,回復速度,-2,麻痺,5,,,,,,,ゲネポスの皮,4,ゲネポスの鱗,3,鉄鉱石,2,,
ゲネポスコート,0,2,2,1,1,3,6,57,2,2,-1,-2,3,回復速度,-2,麻痺,5,,,,,,,ゲネポスの皮,4,ゲネポスの鱗,3,鉄鉱石,2,,
